User-ID,ISBN,Book-Rating,user,book_title
38781,0373259131,0.0,0,0
128835,0811805905,8.0,1,1
261829,037324486X,0.0,2,2
247747,0531303306,0.0,3,3
74076,0316812404,0.0,4,4
30273,0312072376,0.0,5,5
12110,0743431014,6.0,6,6
189973,0515129283,0.0,7,7
13690,8485224574,6.0,8,8
98391,006000181X,8.0,9,9
2276,0345296052,0.0,10,10
107784,076422185X,6.0,11,11
228764,0758201583,0.0,12,12
36003,0060958022,0.0,13,13
12122,1740590120,7.0,14,14
76352,0425137457,0.0,15,15
227054,0425179532,5.0,16,16
14201,038548951X,8.0,17,17
241214,0440210925,0.0,18,18
265784,0440106079,8.0,19,19
64316,0099422042,0.0,20,20
139913,0786886463,7.0,21,21
36836,0688151981,0.0,22,22
269337,0679310452,6.0,23,23
159390,3502512515,0.0,24,24
29519,9136028347,6.0,25,25
113904,0671666274,0.0,26,26
35859,0808514075,0.0,27,27
141109,0688050336,0.0,28,28
230522,0590995111,0.0,29,29
251844,0192838423,10.0,30,30
127114,0875428916,5.0,31,31
246655,0671556843,0.0,32,32
258874,0747245053,0.0,33,33
176950,0441006515,0.0,34,34
63545,0440242002,6.0,35,35
6532,0449220605,8.0,36,36
69042,0553569783,0.0,37,37
170518,0373059043,0.0,38,38
137589,0892861428,0.0,39,39
236283,0440225299,0.0,40,40
21576,0345382919,0.0,41,41
190925,0312974256,0.0,42,42
86093,0142001740,0.0,43,43
211344,0441445241,0.0,44,44
91266,0380709910,0.0,45,45
40559,0670030724,8.0,46,46
13915,0060589272,0.0,47,47
247905,067972902X,0.0,48,48
274423,0553568019,0.0,49,49
23768,0820321451,0.0,50,50
53628,2070422364,8.0,51,51
152036,0373123930,0.0,52,52
26544,0425165108,0.0,53,53
49144,8425334152,8.0,54,54
14357,0310501016,7.0,55,55
247752,0553564528,10.0,56,56
138602,0553253204,0.0,57,57
55136,0140137327,8.0,58,58
190925,0312979088,0.0,42,59
76352,0380400480,0.0,15,60
191187,0940535971,0.0,59,61
69232,0380818337,0.0,60,62
278418,0373256078,0.0,61,63
126585,0060928336,9.0,62,64
48046,0553579754,8.0,63,65
247447,0671702505,9.0,64,66
39467,8433920393,7.0,65,67
224997,0440214041,8.0,66,68
200226,034543353X,0.0,67,69
51440,0446350109,0.0,68,70
137010,0330274864,9.0,69,71
188796,0684801221,10.0,70,72
166596,0156576813,0.0,71,73
135831,0698119185,7.0,72,74
129358,0373631820,0.0,73,75
180348,0843934026,0.0,74,76
240035,0425140032,0.0,75,77
268330,0425155064,0.0,76,78
212923,0671690582,0.0,77,79
251890,0441102670,0.0,78,80
126296,0770423345,0.0,79,81
217247,5264003645,6.0,80,82
266226,0451202724,0.0,81,83
83467,1581340753,0.0,82,84
159033,0449001016,0.0,83,85
44842,0316969443,0.0,84,86
11676,8807813025,9.0,85,87
160681,0446601977,0.0,86,88
160410,3499233096,0.0,87,89
269566,0440226430,0.0,88,90
1424,0767903862,0.0,89,91
172507,0486256642,8.0,90,92
68249,068486360X,9.0,91,93
250609,0345351525,8.0,92,94
6703,848538864X,0.0,93,95
33974,282541154X,0.0,94,96
52199,055328942X,0.0,95,97
234683,0099502704,0.0,96,98
27425,0679419144,0.0,97,99
62895,1853260622,10.0,98,100
206300,0140620915,0.0,99,101
223607,080410946X,0.0,100,102
8681,0140143491,0.0,101,103
150814,0440236053,0.0,102,104
143253,0671028014,0.0,103,105
246617,0224044338,0.0,104,106
182085,1551669307,0.0,105,107
35144,0743204115,4.0,106,108
213316,0684837889,0.0,107,109
254498,8844204703,0.0,108,110
238864,074324480X,0.0,109,111
227764,0671879723,0.0,110,112
198711,0816711968,0.0,111,113
130654,0440237424,7.0,112,114
258160,0345404114,0.0,113,115
158226,1401201008,7.0,114,116
207349,0515122491,0.0,115,117
193560,0571167373,0.0,116,118
20201,0373097158,0.0,117,119
270906,0688156134,7.0,118,120
95316,0771065086,7.0,119,121
234623,0064470393,0.0,120,122
236340,0425100650,0.0,121,123
73548,0394559592,9.0,122,124
98391,1551666863,8.0,9,125
232131,0345333756,0.0,123,126
202358,0393316491,8.0,124,127
47819,3404142497,0.0,125,128
